id,Säsong,Totalpoäng,Spelade minuter,Gjorda mål,Assists,Hållna nollor,Insläppta mål,Räddade straffar,Missade straffar,Gula kort,Röda kort,Räddningar,Självmål,Offensiva bonuspoäng,Defensiva bonuspoäng
0,2021,192,2700,5,13,13,30,0,2,2,0,0,0,39,22
1,2021,167,2597,12,5,8,38,0,0,1,0,0,0,21,5
2,2021,166,2399,5,6,12,25,0,0,2,0,0,0,9,15
3,2021,161,2593,1,5,11,25,0,0,4,0,0,0,17,32
4,2021,153,2545,14,5,6,49,0,0,2,1,0,0,15,1
5,2021,151,2598,7,7,10,37,0,2,1,0,0,0,16,16
6,2021,149,2495,2,3,14,24,0,0,5,0,0,0,9,18
7,2021,147,2501,11,5,8,38,0,0,1,0,0,0,8,6
8,2021,146,2594,2,1,12,24,0,0,5,0,0,0,0,37
9,2021,142,2174,3,5,11,25,0,0,4,0,0,1,21,9
10,2021,136,1955,9,5,8,21,0,0,2,0,0,0,15,9
11,2021,136,2209,3,7,11,17,0,0,12,0,0,0,34,18
12,2021,135,2233,4,0,11,24,0,0,3,0,0,0,0,26
13,2021,135,2358,3,1,12,18,0,0,5,0,0,0,2,20
14,2021,135,2216,12,3,11,19,0,0,0,1,0,0,8,9
15,2021,133,2520,0,3,13,26,0,0,3,0,0,0,10,16
16,2021,129,2478,3,6,5,39,0,0,2,0,0,1,7,27
17,2021,128,2536,12,3,8,48,0,0,2,0,0,0,1,0
18,2021,127,2281,0,2,11,28,0,0,4,1,0,0,9,34
19,2021,125,2238,0,0,10,31,2,0,2,1,69,0,0,26
20,2021,125,2584,3,2,5,43,0,0,4,0,0,0,8,33
21,2021,124,2700,0,0,5,41,1,0,0,0,85,0,0,34
22,2021,123,1478,6,10,1,18,0,0,4,0,0,0,21,10
23,2021,122,2079,8,3,13,23,0,0,1,0,0,0,4,6
24,2021,122,2233,11,3,5,36,0,0,2,0,0,0,7,1
25,2021,122,2045,5,0,8,25,0,0,4,0,0,0,0,22
26,2021,121,2379,0,2,9,22,0,0,5,0,0,0,7,26
27,2021,121,2591,1,3,10,37,0,0,2,0,0,0,8,14
28,2021,121,2046,3,1,10,25,0,0,3,0,0,0,1,25
29,2021,121,2412,0,2,12,20,0,0,3,0,0,0,5,16
30,2021,119,2529,0,6,10,34,0,0,2,0,0,0,6,10
31,2021,119,2564,4,1,9,36,0,0,4,0,0,0,3,30
32,2021,119,2665,1,1,9,38,0,0,2,0,0,0,1,27
33,2021,118,1950,9,7,6,31,0,0,6,0,0,0,11,0
34,2021,118,1890,5,6,9,24,0,0,5,0,0,0,15,7
35,2021,117,2009,5,5,6,25,0,0,3,0,0,0,16,10
36,2021,116,2542,1,4,7,40,0,0,5,0,0,0,5,27
37,2021,116,2086,8,7,11,24,0,1,7,0,0,0,10,3
38,2021,114,2620,1,0,10,38,0,0,2,0,0,0,0,25
39,2021,113,1859,0,5,8,22,0,0,6,0,0,0,12,23
40,2021,112,1969,2,7,5,31,0,0,2,0,0,0,26,4
41,2021,111,2310,1,7,6,36,0,0,5,0,0,0,19,7
42,2021,110,2430,2,2,6,44,0,0,5,0,0,0,1,38
43,2021,109,2626,0,4,5,38,0,0,2,0,0,0,11,23
44,2021,108,2540,0,3,7,45,0,0,5,0,0,0,2,33
45,2021,107,1815,10,0,9,18,0,0,2,0,0,0,1,2
46,2021,107,2276,9,2,11,22,0,0,3,0,0,1,3,5
47,2021,106,1628,0,6,8,18,0,0,4,0,0,1,10,16
48,2021,106,1858,8,3,6,37,0,0,1,0,0,0,3,0
49,2021,105,2610,3,1,9,25,0,0,5,0,0,0,7,18
50,2021,105,2637,1,1,12,25,0,0,2,0,0,0,5,22
51,2021,104,1590,10,4,6,25,0,0,3,0,0,0,6,3
52,2021,104,2506,0,1,9,33,0,0,3,0,0,0,1,19
53,2021,103,1565,6,4,8,14,0,0,5,0,0,0,12,5
54,2021,103,2347,1,3,11,29,0,0,9,0,0,0,3,31
55,2021,103,1461,1,1,12,9,0,0,2,0,0,0,0,18
56,2021,101,2297,4,2,6,43,0,0,8,0,0,0,8,16
57,2021,101,1866,4,4,6,35,0,0,4,0,0,0,12,6
58,2021,98,1665,0,0,10,14,0,0,1,0,45,0,0,18
59,2021,97,1491,6,4,8,19,0,0,4,0,0,0,6,7
60,2021,97,2116,6,2,6,37,0,0,7,0,0,0,6,6
61,2021,94,2375,1,6,4,42,0,0,8,0,0,0,5,17
62,2021,94,1880,3,4,8,23,0,0,1,0,0,0,3,9
63,2021,94,2354,0,3,5,46,0,0,6,0,0,0,9,24
64,2021,93,2506,0,1,8,36,0,0,2,0,0,0,9,18
65,2021,92,1956,1,3,5,32,0,1,5,0,0,0,18,14
66,2021,92,2185,3,0,12,23,0,0,5,0,0,0,1,17
67,2021,91,2477,1,2,6,45,0,0,4,1,0,0,1,24
68,2021,90,1646,1,3,6,18,0,0,2,1,0,0,8,12
69,2021,90,1623,1,1,9,17,0,0,1,1,0,0,0,18
70,2021,90,1710,0,1,7,23,0,0,1,0,45,0,0,21
71,2021,90,1884,1,0,7,26,0,0,2,0,0,0,0,21
72,2021,89,1853,1,2,5,30,0,0,3,0,0,0,9,13
