id,Namn,Klubb,Position,Pris
0.0,Magnus Eriksson,Djurgården,Mittfältare,11.0
1.0,Oliver Berg,Kalmar FF,Mittfältare,9.0
2.0,Joel Nilsson,Hammarby,Mittfältare,6.5
3.0,Erick Otieno,AIK,Försvarare,8.0
4.0,Victor Edvardsen,Djurgården,Anfallare,10.0
5.0,Tobias Sana,IFK Göteborg,Mittfältare,8.5
6.0,Kadir Hodzic,BK Häcken,Försvarare,6.0
7.0,Gustav Ludwigson,Hammarby,Mittfältare,10.0
8.0,Sotirios Papagiannopoulos,AIK,Försvarare,7.0
9.0,Johan Larsson,IF Elfsborg,Försvarare,8.0
10.0,Veljko Birmancevic,Malmö FF,Mittfältare,10.0
11.0,Sebastian Larsson,AIK,Mittfältare,9.5
12.0,Hjalmar Ekdal,Djurgården,Försvarare,7.0
13.0,Alexander Milosevic,AIK,Försvarare,7.0
14.0,Nicolás Stefanelli,AIK,Anfallare,8.5
15.0,Elliot Käck,Djurgården,Försvarare,6.0
16.0,Linus Wahlqvist,IFK Norrköping,Försvarare,6.0
17.0,Christian Kouakou,IK Sirius,Anfallare,7.5
18.0,Simon Strand,IF Elfsborg,Försvarare,6.5
19.0,Tim Rönning,IF Elfsborg,Målvakt,5.5
20.0,Elohor Godswill Ekpolo,IFK Norrköping,Försvarare,6.5
21.0,Oscar Jansson,IFK Norrköping,Målvakt,5.5
22.0,Anders Christiansen,Malmö FF,Mittfältare,12.0
23.0,Jeppe Okkels,IF Elfsborg,Mittfältare,7.5
24.0,Alexander Jeremejeff,BK Häcken,Anfallare,9.0
25.0,Oliver Stanisic,Varbergs BoIS,Försvarare,5.0
26.0,Edvin Kurtulus,Hammarby,Försvarare,5.0
27.0,Alexander Jallow,IFK Göteborg,Försvarare,5.5
28.0,Leo Väisänen,IF Elfsborg,Försvarare,6.0
29.0,Mikael Lustig,AIK,Försvarare,6.5
30.0,Piotr Johansson,Djurgården,Försvarare,6.5
31.0,Romario Pereira Sipião,Kalmar FF,Mittfältare,6.0
32.0,Joakim Lindner,Varbergs BoIS,Försvarare,5.0
33.0,Astrit Selmani,Hammarby,Anfallare,9.5
34.0,Tashreeq Matthews,Varbergs BoIS,Mittfältare,6.5
35.0,Jo Inge Berget,Malmö FF,Mittfältare,8.5
36.0,Mads Fenger,Hammarby,Försvarare,5.5
37.0,Per Frick,IF Elfsborg,Anfallare,8.0
38.0,Mattias Bjärsmyr,IFK Göteborg,Försvarare,5.5
39.0,Jean Carlos de Brito,IFK Norrköping,Försvarare,6.5
40.0,Jonathan Levi,IFK Norrköping,Mittfältare,9.0
41.0,Mohanad Jeahze,Hammarby,Försvarare,6.5
42.0,Marcus Mathisen,IK Sirius,Försvarare,5.0
43.0,Ishaq Abdulrazak,IFK Norrköping,Mittfältare,5.5
44.0,Sebastian Ohlsson,Degerfors IF,Försvarare,5.0
45.0,Nabil Bahoui,AIK,Anfallare,9.0
46.0,Jacob Bergström,Mjällby AIF,Anfallare,6.5
47.0,Eric Larsson,Malmö FF,Försvarare,6.5
48.0,Johan Bertilsson,Degerfors IF,Mittfältare,6.0
49.0,Amir Al-Ammari,IFK Göteborg,Mittfältare,6.0
50.0,Bilal Hussein,AIK,Mittfältare,5.5
51.0,Marcus Berg,IFK Göteborg,Anfallare,11.0
52.0,Lars Sätra,Kalmar FF,Försvarare,5.0
53.0,Adi Nalic,Malmö FF,Mittfältare,7.0
54.0,André Römer,IF Elfsborg,Mittfältare,5.5
55.0,Carlos Moros Gracia,Mjällby AIF,Försvarare,5.5
56.0,Jacob Ortmark,IFK Norrköping,Mittfältare,6.5
57.0,Abdelrahman Saidi,Degerfors IF,Mittfältare,5.5
58.0,Johan Dahlin,Malmö FF,Målvakt,6.0
59.0,Rasmus Alm,IF Elfsborg,Mittfältare,7.5
60.0,Leo Bengtsson,BK Häcken,Mittfältare,7.5
61.0,Gustaf Berggren,BK Häcken,Mittfältare,5.5
62.0,Haris Radetinac,Djurgården,Mittfältare,6.5
63.0,Christos Gravius,Degerfors IF,Mittfältare,5.0
64.0,Carl Gustafsson,Kalmar FF,Mittfältare,5.0
65.0,Darijan Bojanic,Hammarby,Mittfältare,8.0
66.0,Hampus Finndell,Djurgården,Mittfältare,5.5
67.0,Adam Carlén,Degerfors IF,Mittfältare,5.0
68.0,Martin Olsson,Malmö FF,Försvarare,6.5
69.0,Maudo Jarjue,IF Elfsborg,Försvarare,5.5
70.0,Jacob Widell Zetterström,Djurgården,Målvakt,5.5
71.0,Rasmus Sjöstedt,Kalmar FF,Försvarare,5.0
72.0,Anton Liljenbäck,Varbergs BoIS,Försvarare,4.5
73.0,Peter Abrahamsson,BK Häcken,Målvakt,5.5
74.0,Adam Ståhl,Mjällby AIF,Försvarare,5.5
75.0,Marcus Antonsson,IFK Värnamo,Anfallare,6.5
76.0,Björn Paulsen,Hammarby,Försvarare,5.5
77.0,Hosam Aiesh,IFK Göteborg,Mittfältare,8.0
78.0,Ivan Kricak,Mjällby AIF,Försvarare,4.5
79.0,David Mitov Nilsson,IK Sirius,Målvakt,5.0
80.0,Laorent Shabani,IK Sirius,Mittfältare,5.5
81.0,Rasmus Schüller,Djurgården,Mittfältare,5.5
82.0,Viktor Agardius,IFK Norrköping,Försvarare,5.5
83.0,Simon Sandberg,Hammarby,Försvarare,5.0
84.0,Oscar Wendt,IFK Göteborg,Försvarare,6.5
85.0,Nahir Besara,Hammarby,Mittfältare,8.0
86.0,Jesper Gustavsson,Mjällby AIF,Mittfältare,5.0
87.0,Lasse Nielsen,Malmö FF,Försvarare,5.5
88.0,Marco Lund,IFK Norrköping,Försvarare,5.0
89.0,Isak Jansson,Kalmar FF,Anfallare,6.0
90.0,Sören Rieks,Malmö FF,Mittfältare,7.5
91.0,Carl Johansson,IFK Göteborg,Försvarare,5.5
92.0,Budimir Janosevic,AIK,Målvakt,4.5
93.0,Dennis Widgren,Hammarby,Försvarare,4.5
94.0,Jeppe Andersen,Hammarby,Mittfältare,5.5
95.0,Simon Olsson,IF Elfsborg,Mittfältare,7.0
96.0,Zak Elbouzedi,AIK,Mittfältare,7.5
97.0,Ismael Diawara,Malmö FF,Målvakt,4.5
98.0,Jon Gudni Fjoluson,Hammarby,Försvarare,5.0
