y,verein,age,mw,datum_mw,x,marker,TM_URL
125000,AFC\x20Eskilstuna,18,\u20AC125Th.,2008-12-10,1228863600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F8877.png\\x3Flm\\x3D1516363614\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
100000,AFC\x20Eskilstuna,19,\u20AC100Th.,2009-06-21,1245535200000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F8877.png\\x3Flm\\x3D1516363614\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
75000,AFC\x20Eskilstuna,19,\u20AC75Th.,2010-03-07,1267916400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F8877.png\\x3Flm\\x3D1516363614\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
125000,AFC\x20Eskilstuna,20,\u20AC125Th.,2010-08-30,1283119200000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F8877.png\\x3Flm\\x3D1516363614\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
200000,Atvidabergs\x20FF,21,\u20AC200Th.,2011-06-24,1308866400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F6139.png\\x3Flm\\x3D1414431794\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
500000,KAA\x20Gent,22,\u20AC500Th.,2012-09-18,1347919200000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F157_1405430382.png\\x3Flm\\x3D1405430382\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
1000000,Malm\u00F6\x20FF,23,\u20AC1.00m,2013-08-07,1375826400000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F496.png\\x3Flm\\x3D1409230098\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
1000000,Malm\u00F6\x20FF,24,\u20AC1.00m,2014-06-24,1403560800000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F496.png\\x3Flm\\x3D1409230098\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
800000,Guizhou\x20Renhe,24,\u20AC800Th.,2015-01-28,1422399600000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F17250_1401128927.png\\x3Flm\\x3D1401128923\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
550000,Guizhou\x20Renhe,25,\u20AC550Th.,2015-06-05,1433455200000,{'symbol': 'url\\x28https\\x3A\\x2F\\x2Ftmssl.akamaized.net\\x2Fimages\\x2Fwappen\\x2Fverysmall\\x2F17250_1401128927.png\\x3Flm\\x3D1401128923\\x29'},https://www.transfermarkt.com/magnus-eriksson/profil/spieler/75554
